median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act,region
79655.0,0.593403108150967,0.555555555555556,0.770012706480305,0.0550683970536654,High,Regular School,WA,2016-2017,98108,18.5164835164835,washington
113883.0,0.874623871614845,0.153449084936649,0.906178489702517,0.0968572900566718,High,Regular School,IL,2016-2017,60031,22.5,illinois
69466.0,0.78942987931752,0.22554787729474213,0.831663326653307,0.0405940594059406,High,Regular School,IL,2016-2017,61571,21.4,illinois
37396.0,0.767950693374422,0.316508313539192,0.530526315789474,0.092372288313506,High,Regular School,WA,2016-2017,98403,22.4725274725275,washington
45308.0,0.797001620745543,0.253798033958892,0.536098310291859,0.0510168907273354,High,Regular School,WA,2016-2017,98225,23.6202686202686,washington
66200.0,0.672193436960276,0.218110236220472,0.798894557823129,0.0292214568983511,High,Regular School,IL,2016-2017,60140,21.3,illinois
39142.0,0.508502024291498,0.531446540880503,0.601813685078318,0.143133462282398,High,Regular School,IL,2016-2017,62951,18.7,illinois
60647.0,0.606324972737186,0.121076233183857,0.795838751625488,0.084,High,Regular School,IL,2016-2017,60520,23.1,illinois
91083.0,0.742926239419589,0.384728882331243,0.914553472987872,0.0583637311099531,High,Regular School,IL,2016-2017,60074,21.3,illinois
34830.0,0.589874593590339,0.467600700525394,0.461608775137112,0.131399317406143,High,Regular School,IL,2016-2017,62812,19.4,illinois
56818.0,0.555232558139535,0.418604651162791,0.666666666666667,0.130480167014614,High,Regular School,IL,2016-2017,60929,19.8,illinois
55531.0,0.556918238993711,0.331521739130435,0.72520908004779,0.0918686473807662,High,Regular School,WA,2016-2017,98565,22.3992673992674,washington
75402.0,0.653696498054475,0.157119476268412,0.914367269267364,0.0965346534653465,High,Regular School,IL,2016-2017,60468,21.0,illinois
97083.0,0.877224199288256,0.168273866923819,0.940845070422535,0.0537190082644628,High,Regular School,IL,2016-2017,60062,26.1,illinois
78750.0,0.766971982758621,0.125528913963329,0.826392644672796,0.0512195121951219,High,Regular School,IL,2016-2017,62549,22.4,illinois
77474.0,0.8785084202085,0.344956413449564,0.779935275080906,0.0609996064541519,High,Regular School,WA,2016-2017,98122,24.8656898656899,washington
49750.0,0.693340794627868,0.515350877192982,0.684975767366721,0.116948092557849,High,Regular School,IL,2016-2017,62801,18.6,illinois
51447.0,0.667235494880546,0.487513572204126,0.855932203389831,0.103376623376623,High,Regular School,WA,2016-2017,98520,20.3479853479853,washington
37904.0,0.404651162790698,0.428571428571429,0.43134328358209,0.118725868725869,High,Regular School,IL,2016-2017,62557,18.7,illinois
57833.0,0.721120186697783,0.177149237067361,0.745473908413205,0.0467869222096956,High,Regular School,IL,2016-2017,60172,22.4,illinois
40563.0,0.495373665480427,0.382575757575758,0.711069418386492,0.0933660933660934,High,Regular School,IL,2016-2017,61434,19.4,illinois
53623.0,0.585509688289806,0.232911392405063,0.748422712933754,0.0625283189850476,High,Regular School,IL,2016-2017,61738,21.3,illinois
66385.0,0.643218033424019,0.4,0.809,0.0838600927096502,High,Regular School,IL,2016-2017,61607,18.8,illinois
25694.0,0.47479674796748,0.955813953488372,0.193430656934307,0.203045685279188,High,Regular School,IL,2016-2017,60617,15.2,illinois
66636.0,0.903592948002678,0.1875,0.558620689655172,0.0347268303472683,High,Regular School,WA,2016-2017,98109,24.5726495726496,washington
57813.0,0.854981742305686,0.160539785946952,0.733639494833525,0.0841288782816229,High,Regular School,IL,2016-2017,60189,22.9,illinois
40728.0,0.537598204264871,0.282539682539683,0.781841109709962,0.121100917431193,High,Regular School,IL,2016-2017,60936,20.0,illinois
45153.0,0.610541727672035,0.522539098436063,0.467772814294831,0.238528481012658,High,Regular School,IL,2016-2017,60478,16.5,illinois
55531.0,0.556918238993711,0.409774436090226,0.72520908004779,0.0918686473807662,High,Regular School,WA,2016-2017,98591,22.3748473748474,washington
99236.0,0.73984813469792,0.188679245283019,0.794693619709413,0.0989599747872676,High,Regular School,IL,2016-2017,60544,19.6,illinois
54773.0,0.565985130111524,0.197718631178707,0.74235807860262,0.075685903500473,High,Regular School,IL,2016-2017,62550,20.0,illinois
46563.0,0.409684857801691,0.419540229885057,0.523946360153257,0.283538796229152,High,Regular School,IL,2016-2017,60099,20.1,illinois
43477.0,0.289855072463768,0.859150102810144,0.356401384083045,0.115942028985507,High,Regular School,IL,2016-2017,60632,17.8,illinois
62590.0,0.633132338940019,0.341158059467919,0.620616814533164,0.120322580645161,High,Regular School,WA,2016-2017,98674,19.6642246642247,washington
26862.0,0.702983725135624,0.954954954954955,0.423645320197044,0.0926856504745952,High,Regular School,IL,2016-2017,60640,16.9,illinois
43377.0,0.550957381099444,0.418131359851989,0.352777777777778,0.135474860335196,High,Regular School,IL,2016-2017,61611,18.7,illinois
67981.0,0.622750838670326,0.193460490463215,0.766447368421053,0.12279488066413,High,Regular School,IL,2016-2017,60401,21.5,illinois
81163.0,0.852884615384615,0.0762812872467223,0.899888765294772,0.047244094488189,High,Regular School,WA,2016-2017,98006,25.964590964591,washington
46103.0,0.57122641509434,0.246696035242291,0.718879668049793,0.0553814002089864,High,Regular School,IL,2016-2017,62351,19.4,illinois
47257.0,0.53356890459364,0.571761416589003,0.496863237139272,0.170460855080511,High,Regular School,WA,2016-2017,98204,21.1294261294261,washington
86974.0,0.762971698113208,0.156156156156156,0.880462724935733,0.0802387267904509,High,Regular School,WA,2016-2017,99030,22.008547008547,washington
33449.0,0.120884773662551,0.951573849878935,0.687414500683995,0.210234278668311,High,Regular School,IL,2016-2017,60623,18.1,illinois
52303.0,0.581395348837209,0.257692307692308,0.720288115246098,0.0799347471451876,High,Regular School,IL,2016-2017,61048,21.1,illinois
50556.0,0.670816044260028,0.626293995859213,0.751728907330567,0.0899198167239404,High,Regular School,WA,2016-2017,98405,19.1514041514042,washington
64335.0,0.655829596412556,0.21280276816609,0.748732802317161,0.0487619047619048,High,Regular School,IL,2016-2017,61084,20.3,illinois
25542.0,0.427350427350427,0.721266968325792,0.209876543209877,0.1463133640553,High,Regular School,IL,2016-2017,60624,20.9,illinois
45164.0,0.548199152542373,0.478142076502732,0.429242119382964,0.0883777239709443,High,Regular School,WA,2016-2017,98445,21.4468864468864,washington
56406.0,0.551841535128443,0.306068601583113,0.718005540166205,0.146373918829009,High,Regular School,IL,2016-2017,60152,21.3,illinois
48508.0,0.626171143035603,0.538461538461538,0.665587044534413,0.0868588543616623,High,Regular School,WA,2016-2017,98841,19.5665445665446,washington
58763.0,0.652342738804038,0.56454491374182,0.930122116689281,0.165712650257584,High,Regular School,IL,2016-2017,60453,19.3,illinois
42692.0,0.45420054200542,0.259574468085106,0.789473684210526,0.038483630097645,High,Regular School,IL,2016-2017,61310,20.7,illinois
28649.0,0.336697909156453,0.957983193277311,0.579500657030223,0.193729903536977,High,Regular School,IL,2016-2017,60617,16.6,illinois
44683.0,0.550239234449761,0.358208955223881,0.770712909441233,0.0786516853932584,High,Regular School,IL,2016-2017,62858,19.0,illinois
62854.0,0.769377990430622,0.318522792844778,0.775388291517324,0.0953649440596697,High,Regular School,WA,2016-2017,99216,22.3748473748474,washington
36458.0,0.636528028933092,0.273408239700375,0.653386454183267,0.0723888314374354,High,Regular School,IL,2016-2017,62806,19.2,illinois
43865.0,0.442548076923077,0.3734335839599,0.676175790285274,0.119181380417335,High,Regular School,IL,2016-2017,62274,18.8,illinois
50411.0,0.634920634920635,0.451988360814743,0.633802816901408,0.0782504012841092,High,Regular School,IL,2016-2017,61081,19.6,illinois
44104.0,0.496607869742198,0.619963920625376,0.398533007334963,0.0940265486725664,High,Regular School,IL,2016-2017,60625,19.7,illinois
48456.0,0.722705696202532,0.726003490401396,0.787015945330296,0.0720640569395018,High,Regular School,IL,2016-2017,62966,18.6,illinois
31399.0,0.787209302325581,0.961497326203209,0.463035019455253,0.196787148594378,High,Regular School,IL,2016-2017,60637,15.4,illinois
84063.0,0.833333333333333,0.0866715222141296,0.717421124828532,0.0790682414698163,High,Regular School,WA,2016-2017,98072,24.5238095238095,washington
103000.0,0.73062015503876,0.0562248995983936,0.932170542635659,0.0714661061481871,High,Regular School,IL,2016-2017,60447,21.8,illinois
73241.0,0.638762886597938,0.424354243542435,0.716861081654295,0.118331716779825,High,Regular School,WA,2016-2017,98576,20.9096459096459,washington
13235.0,0.8368,0.315051020408163,0.330472103004292,0.171047760088856,High,Regular School,IL,2016-2017,61920,21.0,illinois
67083.0,0.656962469309014,0.168413173652695,0.744423791821561,0.117424242424242,High,Regular School,IL,2016-2017,60151,21.1,illinois
53600.0,0.839727722772277,0.195918367346939,0.666666666666667,0.0266106442577031,High,Regular School,IL,2016-2017,60532,23.1,illinois
39464.0,0.585623678646934,0.365296803652968,0.42312925170068,0.0459307010475423,High,Regular School,IL,2016-2017,62056,18.8,illinois
30813.0,0.453546910755149,0.782263401720715,0.41438032166509,0.285384170999422,High,Regular School,IL,2016-2017,60411,17.3,illinois
55923.0,0.462339743589744,0.443708609271523,0.827536231884058,0.117948717948718,High,Regular School,IL,2016-2017,61570,19.8,illinois
66944.0,0.693089430894309,0.133866133866134,0.682795698924731,0.103420630678781,High,Regular School,IL,2016-2017,62258,22.0,illinois
42026.0,0.478886168910649,0.360197368421053,0.35006045949214,0.173463356973995,High,Regular School,WA,2016-2017,98203,21.1538461538462,washington
63555.0,0.848151062155783,0.092896174863388,0.8369384359401,0.0552193645990923,High,Regular School,IL,2016-2017,61550,23.3,illinois
38319.0,0.559885151763741,0.319148936170213,0.382828993666432,0.0697567691601652,High,Regular School,IL,2016-2017,62839,19.1,illinois
