median_income,percent_college,percent_lunch,percent_married,rate_unemployment,school_level,school_type,state,year,zip_code,average_act,region
66492.0,0.599102468212416,0.230769230769231,0.881448957189901,0.109261630388391,High,Regular School,IL,2016-2017,61024,19.9,illinois
76037.0,0.611076016003369,0.460406750324535,0.768086816720257,0.104947526236882,High,Regular School,IL,2016-2017,60099,18.4,illinois
68371.0,0.83213644524237,0.255147717099373,0.525547445255474,0.0916844349680171,High,Regular School,WA,2016-2017,98125,23.4981684981685,washington
61250.0,0.621196581196581,0.242016806722689,0.661754385964912,0.159807956104252,High,Regular School,WA,2016-2017,98373,21.5689865689866,washington
38182.0,0.620830496936692,0.363920750782065,0.615611192930781,0.134357005758157,High,Regular School,WA,2016-2017,98532,22.5946275946276,washington
27596.385704780543,0.4188926752577914,0.889632107023411,0.44039199424282777,0.15205643323833845,High,Regular School,IL,2016-2017,60615,17.7,illinois
65398.0,0.614003590664273,0.228699551569507,0.67965367965368,0.0690041029466617,High,Regular School,IL,2016-2017,62670,21.1,illinois
50707.0,0.286855482933914,0.625972762645914,0.529106029106029,0.140100071479628,High,Regular School,IL,2016-2017,60073,18.0,illinois
41062.0,0.359717076456719,0.986425339366516,0.731991525423729,0.0611273792093704,High,Regular School,WA,2016-2017,98813,18.003663003663,washington
58975.0,0.662442396313364,0.121394230769231,0.829931972789116,0.0402663284717819,High,Regular School,IL,2016-2017,61254,21.7,illinois
45781.0,0.497257053291536,0.676549865229111,0.560061208875287,0.0963529941467807,High,Regular School,WA,2016-2017,98146,18.5164835164835,washington
52393.0,0.785548865215377,0.800424628450106,0.438297872340426,0.116675839295542,High,Regular School,IL,2016-2017,60608,16.9,illinois
19568.0,0.439801699716714,0.974874371859296,0.0,0.428140703517588,High,Regular School,IL,2016-2017,60621,15.0,illinois
57207.0,0.686131386861314,0.128293241695304,0.577565632458234,0.100354789660416,High,Regular School,WA,2016-2017,98388,22.5213675213675,washington
63862.0,0.840850751741841,0.0880905511811024,0.635811836115326,0.0625,High,Regular School,WA,2016-2017,98027,25.989010989011,washington
82673.0,0.713859910581222,0.395672333848532,0.810136157337368,0.0936628138700678,High,Regular School,IL,2016-2017,60655,20.4,illinois
150785.0,0.939032697547684,0.141449861076029,0.928092042186002,0.0690566037735849,High,Regular School,IL,2016-2017,60525,24.3,illinois
41275.0,0.527908540685945,0.280973451327434,0.566942148760331,0.0828488372093023,High,Regular School,IL,2016-2017,62448,20.2,illinois
46713.0,0.56641431520991,0.334507042253521,0.610044313146233,0.131182795698925,High,Regular School,IL,2016-2017,61326,19.7,illinois
53906.0,0.820459290187891,0.222309505106049,0.624590163934426,0.0679775280898876,High,Regular School,IL,2016-2017,60137,22.9,illinois
